food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,meal_type,dietary_category,veg_category
Mashed Potato With Milk And Butter,237,8.9,5.5,2.2,0.4,35.3,3.0,3.9,3.2,23.1,0.7,158.8,0.026,0.2,0.023,0.05,0.069,2.3,1.0,0.5,12.6,0.08,0.3,0.033,50.4,0.3,0.5,37.8,0.2,94.5,596.4,0.074,0.6,114.854,snack,low-carb,veg
Potato Pancake,59,3.2,0.5,0.8,1.7,6.1,0.4,1.3,0.7,20.9,0.2,10.5,0.098,0.085,0.096,0.004,0.098,0.4,0.2,0.052,6.1,0.091,0.055,0.024,7.0,0.043,0.4,7.9,0.006,28.2,136.8,0.072,0.2,24.864,snack,low-carb,veg
Potato Puffs,243,11.0,2.3,7.7,0.6,35.5,0.3,2.6,3.2,0.0,0.6,76.4,0.0,0.2,0.019,0.0,0.049,1.9,0.4,0.2,8.1,0.0,0.3,0.001,17.9,0.01,0.8,21.8,0.2,131.8,399.4,0.018,0.4,79.1,snack,low-carb,veg
Red Potato Baked,74,0.1,0.008,0.078,0.004,16.7,1.2,2.0,1.5,0.0,0.037,65.2,0.0,0.0,0.097,0.034,0.0,0.046,1.4,0.3,0.2,10.7,0.0,0.066,0.075,7.7,0.1,0.6,23.8,0.1,61.2,463.3,0.0,20.689,snack,low-carb,veg
Potatoes Canned,132,0.3,0.098,0.021,0.1,29.7,0.0,3.6,4.2,0.0,0.7,263.5,0.0,0.1,0.011,0.0,0.015,2.7,0.5,0.4,22.8,0.0,0.0,0.0,117.0,0.2,2.2,42.0,0.2,66.0,615.0,0.049,1.2,179.8,snack,low-carb,veg
Hash Brown Potato,144,9.0,1.3,4.1,3.0,15.3,0.3,1.4,1.4,0.0,0.3,26.1,0.041,0.0,0.023,0.012,0.0,0.055,1.0,0.1,0.068,2.9,0.0,1.4,0.069,10.1,0.004,0.3,11.1,0.099,51.9,188.2,0.043,27.245,snack,low-carb,veg
Baked Chips Lays,130,2.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,snack,low-carb,veg
Corn Chips,162,10.0,1.3,2.7,4.9,17.2,0.031,1.9,1.2,0.0,0.2,0.3,0.021,0.066,0.062,0.086,0.0,0.076,0.3,0.2,0.073,0.0,0.0,2.2,0.068,41.4,0.021,0.4,21.6,0.1,58.2,43.2,0.042,30.501,snack,low-carb,veg
Nacho Cheese Tortilla Chips Low Fat,90,1.0,0.3,0.4,0.3,18.5,0.8,2.4,1.8,0.6,0.2,0.5,0.0,0.058,0.036,0.003,0.039,0.4,0.048,0.088,1.6,0.0,1.0,0.088,36.2,0.04,1.4,28.0,0.2,69.3,112.1,0.056,1.0,62.9,snack,low-carb,veg
Corn Chips Unsalted,490,29.4,3.8,8.0,15.0,50.5,1.2,5.8,3.9,0.0,0.024,0.9,0.0,0.1,0.028,0.0,0.1,1.3,0.0,0.2,1.8,0.0,1.2,0.026,109.1,0.2,1.5,61.6,0.0,161.9,162.8,0.087,0.7,202.0,snack,regular,veg
Potato Chips Fat Free,860,1.4,0.3,0.06,0.6,190.1,8.4,21.9,17.0,0.0,1.5,4.5,0.0,2.5,0.1,0.0,0.3,14.6,0.0,1.8,21.1,0.0,0.029,0.006,79.5,0.4,8.1,158.9,0.0,379.1,3695.6,0.038,1.7,339.1,lunch,high-protein,veg
Sweet Chilli Kettle Baked Chips,99,2.2,0.3,16.9,1.2,2.1,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,snack,low-carb,veg
Taro Chips,11,0.6,0.1,0.1,0.3,1.6,0.04,0.049,0.2,0.0,0.022,0.064,0.0,0.088,0.067,0.0,0.077,0.03,0.1,0.091,0.1,0.0,0.3,0.078,1.4,0.097,0.008,1.9,0.087,3.0,17.4,0.08,0.069,4.042,snack,low-carb,veg
Potato Chips Reduced Fat,801,35.4,7.1,8.2,18.6,113.7,0.4,12.1,10.0,0.0,0.8,1.7,0.0,0.4,0.028,0.0,0.5,11.9,0.5,1.1,43.7,0.0,9.3,0.076,35.7,1.0,2.3,151.3,0.7,328.1,2964.8,0.08,0.1,252.9,snack,regular,veg
Onion Snacks,150,6.8,1.3,4.0,0.9,19.5,1.4,2.3,1.2,0.0,0.3,0.6,0.087,0.092,0.01,0.0,0.048,1.0,0.061,0.084,0.5,0.0,0.8,0.003,8.7,0.072,1.1,8.4,0.1,21.6,42.9,0.002,0.086,40.199,snack,low-carb,veg
Potato Chips Cheese,843,46.2,14.6,13.1,16.3,98.1,0.0,14.5,8.8,6.8,0.8,3.1,0.057,0.3,0.0,0.0,0.3,8.5,1.3,0.6,92.0,0.0,0.0,0.0,122.4,0.4,3.1,127.5,0.8,508.3,2597.6,0.0,1.5,385.109,snack,regular,veg
Yuca Cassava Chips,9,0.4,0.1,0.1,0.1,1.2,0.006,0.054,0.002,0.0,0.041,0.062,0.0,0.049,0.0,0.0,0.087,0.058,0.06,0.066,0.0,0.0,0.067,0.047,0.9,0.019,0.099,0.8,0.083,1.7,14.8,0.002,0.078,2.621,snack,low-carb,veg
Tortilla Chips Low Fat,117,1.6,0.2,0.5,0.8,22.6,0.2,3.1,1.5,0.0,0.1,0.5,0.0,0.089,0.052,0.0,0.001,0.1,0.0,0.003,0.095,0.0,0.2,0.043,45.0,0.006,0.5,27.5,0.0,90.0,77.0,0.087,0.3,74.368,snack,low-carb,veg
Ranch Flavor Tortilla Chips,992,48.8,7.0,14.0,26.8,124.2,6.0,14.2,7.9,0.0,1.0,6.2,0.0,0.093,0.0,0.0,0.1,2.6,1.2,0.4,0.0,0.0,0.0,0.073,265.3,0.2,2.7,172.3,0.7,499.0,512.8,0.032,2.8,463.1,snack,regular,veg
Potato Chips,161,10.4,3.3,3.0,3.7,15.9,0.007,2.1,1.4,0.0,0.021,0.6,0.0,0.086,0.045,0.0,0.006,1.1,1.3,0.2,9.3,0.0,2.7,0.02,7.2,0.1,0.5,20.1,0.2,49.5,382.5,0.099,0.3,46.8,snack,keto,veg
Tortilla Chips,142,6.2,0.8,1.7,3.2,20.3,0.2,2.1,1.6,0.0,0.077,0.8,0.2,0.0,0.006,0.071,0.031,0.057,0.3,0.4,0.092,0.0,0.0,1.1,0.014,31.8,0.2,0.5,25.2,0.0,67.5,54.6,0.041,30.699,snack,low-carb,veg
Sweet Potato Chips,149,9.1,0.8,2.6,3.4,15.9,2.5,0.8,2.5,0.0,0.05,1.3,0.0,0.013,0.088,0.0,0.069,0.6,0.4,0.1,0.0,0.0,2.7,0.08,16.5,0.1,0.6,18.2,0.4,40.6,259.0,0.087,0.1,45.4,snack,low-carb,veg
Nacho Cheese Tortilla Chips,156,8.2,1.2,2.7,3.7,18.2,0.8,2.2,1.5,0.0,0.2,0.5,0.021,0.2,0.023,0.085,0.0,0.021,0.4,0.2,0.038,0.1,0.0,0.0,0.002,41.1,0.071,0.3,22.5,0.1,75.6,66.9,0.072,30.369,snack,low-carb,veg
Vegetable Chips,134,6.6,0.5,4.1,1.9,17.1,1.1,1.5,1.3,0.0,0.3,1.8,0.0,0.019,0.002,0.0,0.025,0.8,0.1,0.2,1.4,0.0,1.4,0.027,14.7,0.011,0.4,15.0,0.015,36.8,237.2,0.083,0.1,43.0,snack,low-carb,veg
Potato Chips Barbecue,970,64.2,15.9,12.9,32.4,104.5,14.0,15.2,8.7,0.0,1.3,3.8,0.0,0.4,0.2,0.0,0.4,9.3,1.2,1.2,67.1,0.0,12.2,0.015,99.0,0.7,3.8,148.5,1.0,368.3,2496.8,0.02,1.9,362.5,lunch,high-protein,veg
Pita Chips,137,4.6,0.4,3.3,0.6,20.5,1.4,3.5,1.1,0.0,0.3,0.6,0.033,0.0,0.2,0.042,0.0,0.077,2.1,0.2,0.039,0.0,0.0,2.1,0.051,5.1,0.065,1.4,11.1,0.2,37.2,38.7,0.003,29.893,snack,low-carb,veg
Adobo Fresco,780,60.2,8.4,43.1,5.9,53.6,5.8,5.8,3.7,0.0,49.4,63.6,0.0,0.1,0.094,0.0,0.037,1.4,0.0,0.0,16.7,0.0,7.7,0.088,354.2,0.088,9.2,66.2,0.0,109.4,538.6,0.024,0.7,503.4,snack,regular,veg
Creamy Ranch Sauce Mcdonalds,132,14.7,2.2,3.1,8.0,1.0,1.0,0.3,0.0,5.9,0.2,11.7,0.0,0.009,0.0,0.007,0.075,0.009,0.021,0.006,0.0,0.0,1.0,0.0,8.2,0.079,0.039,0.8,0.056,8.5,22.1,0.0,0.071,24.274,snack,keto,veg
Catsup,19,0.066,0.026,0.051,0.065,4.5,3.7,0.2,0.053,0.0,0.2,11.8,0.0,0.002,0.038,0.0,0.073,0.2,0.091,0.045,0.7,0.0,0.2,0.094,2.7,0.08,0.073,2.6,0.079,4.8,53.6,0.096,0.015,8.299,snack,low-carb,veg
Fish Sauce,6,0.013,0.08,0.0,0.039,0.7,0.7,0.9,0.0,0.0,1.4,12.8,0.058,0.052,0.043,0.047,0.031,0.4,0.086,0.093,0.012,0.0,0.0,0.0,7.7,0.089,0.1,31.5,0.082,1.3,51.8,0.021,0.057,9.498,snack,low-carb,non-veg
Coleslaw Dressing Reduced Fat,56,3.4,0.5,1.5,1.3,6.8,6.6,0.0,0.045,4.3,0.3,6.3,0.0,0.057,0.0,0.01,0.084,0.097,0.071,0.096,0.0,0.0,0.3,0.068,6.1,0.0,0.08,0.9,0.069,5.1,8.5,0.08,0.071,16.403,snack,low-carb,veg
Sour Dressing,21,2.0,1.6,0.2,0.035,0.6,0.6,0.4,0.0,0.6,0.094,9.0,0.023,0.046,0.046,0.075,0.02,0.033,0.08,0.084,0.1,0.0,0.2,0.024,13.6,0.017,0.091,1.2,0.021,10.4,19.4,0.058,0.064,16.853,snack,low-carb,veg
Guava Sauce Cooked,86,0.3,0.014,0.068,0.1,22.6,14.0,0.8,8.6,0.0,0.017,213.2,0.0,0.054,0.062,0.0,0.047,1.0,0.0,0.2,348.4,0.0,1.3,0.008,16.7,0.2,0.4,16.7,0.3,26.2,535.5,0.044,0.4,397.8,snack,low-carb,veg
Pizza Sauce,136,2.9,1.2,1.2,0.2,21.8,9.5,5.5,5.0,0.0,0.9,218.5,0.0,0.0,0.2,0.074,0.0,0.1,3.6,0.9,0.3,28.5,0.0,0.0,0.0,136.1,0.3,2.3,52.9,0.6,126.0,892.1,0.0,35.8,breakfast,low-carb,veg
Sweetn Sour Sauce Mcdonalds,48,0.3,0.075,0.091,0.1,11.0,10.0,0.2,0.0,0.0,0.2,16.1,0.0,0.037,0.0,0.0,0.06,0.1,0.042,0.069,0.3,0.0,0.2,0.0,1.7,0.076,0.2,1.7,0.049,4.5,27.7,0.0,0.05,13.7,snack,low-carb,veg
French Dressing Reduced Fat,37,2.2,0.2,0.9,0.8,4.7,4.6,0.072,0.2,0.0,0.072,8.7,0.0,0.066,0.066,0.0,0.085,0.049,0.068,0.094,0.0,0.0,0.5,0.007,1.8,0.048,0.1,1.3,0.068,2.6,17.1,0.063,0.079,9.052,snack,low-carb,veg
Peppercorn Dressing,76,8.2,1.4,2.0,4.4,0.5,0.3,0.2,0.0,6.6,0.1,4.3,0.091,0.0,0.012,0.017,0.0,0.0,0.0,0.02,0.09,0.089,0.6,0.049,2.9,0.002,0.055,0.3,0.0,3.5,23.6,0.083,0.011,11.946,snack,low-carb,veg
Sorghum Syrup,61,0.0,0.0,0.0,0.0,15.7,15.7,0.0,0.0,0.0,0.096,4.8,0.0,0.03,0.0,0.0,0.051,0.02,0.2,0.1,0.0,0.0,0.0,0.0,31.5,0.098,0.8,21.0,0.3,11.8,210.0,0.013,0.046,48.0,snack,low-carb,veg
Ranch Dressing Fat Free,17,0.3,0.007,0.072,0.092,3.7,0.7,0.039,0.088,1.0,0.1,9.6,0.078,0.079,0.04,0.0,0.06,0.007,0.1,0.022,0.0,0.0,0.033,0.077,7.0,0.032,0.1,1.1,0.037,15.8,15.5,0.047,0.041,11.204,snack,low-carb,veg
Caesar Dressing Low Calorie,17,0.7,0.1,0.2,0.4,2.8,2.4,0.028,0.053,0.3,0.2,11.0,0.087,0.038,0.065,0.0,0.079,0.036,0.089,0.0,0.0,0.0,0.1,0.096,3.6,0.067,0.016,0.3,0.029,2.9,4.4,0.05,0.029,7.293,snack,low-carb,veg
Mayonnaise Imitation Fat Free,13,0.4,0.005,0.3,0.031,2.5,1.6,0.043,0.3,1.4,0.1,12.6,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.04,0.023,1.0,0.095,0.008,0.3,0.0,0.8,7.8,0.037,0.037,4.313,snack,low-carb,veg
Sofrito,488,37.5,0.0,0.0,0.0,11.2,0.0,26.4,3.5,0.0,2.4,122.9,0.0,0.6,0.036,0.0,0.4,6.0,1.2,0.7,42.0,0.0,0.0,0.0,41.2,0.3,1.9,51.5,0.4,286.3,826.1,0.0,2.9,163.7,dinner,keto,veg
Turkey Gravy Instant,27,1.0,0.3,0.4,0.3,3.9,0.5,0.8,0.3,1.6,0.3,0.4,0.035,0.013,0.042,0.057,0.048,0.029,0.091,0.015,0.092,0.0,0.046,0.06,7.7,0.012,0.6,2.0,0.04,13.6,20.5,0.083,0.032,14.333,snack,low-carb,non-veg
Teriyaki Sauce,16,0.015,0.0,0.0,0.0,2.8,2.5,1.1,0.016,0.0,0.7,12.2,0.0,0.074,0.036,0.0,0.091,0.2,0.068,0.09,0.0,0.0,0.0,0.0,4.5,0.056,0.3,11.0,0.0,27.7,40.5,0.038,0.049,8.733,snack,low-carb,veg
Tomato Sauce,59,0.7,0.1,0.1,0.3,13.0,8.7,2.9,3.7,0.0,0.083,223.6,0.0,0.029,0.032,0.002,0.0,0.2,2.4,0.8,0.2,17.2,0.0,3.5,0.083,34.3,0.3,2.4,36.8,0.3,66.2,727.7,0.09,20.864,snack,low-carb,veg
Barbecue Sauce Kraft,28,0.053,0.013,0.095,0.005,6.5,5.2,0.1,0.032,0.0,0.2,8.7,0.0,0.069,0.0,0.0,0.001,0.073,0.09,0.002,0.031,0.0,0.1,0.0,7.5,0.011,0.1,2.4,0.093,3.0,39.5,0.0,0.006,14.388,snack,low-carb,veg
Cranberry Sauce Sweetened,418,0.4,0.056,0.057,0.2,107.8,105.0,0.6,2.8,0.0,0.076,168.0,0.0,0.0,0.033,0.0,0.093,0.3,0.0,0.029,5.5,0.0,2.3,0.075,11.1,0.097,0.6,8.3,0.2,16.6,72.0,0.025,0.1,128.8,snack,regular,veg
Coleslaw Dressing,62,5.3,0.8,1.4,2.9,3.8,3.2,0.1,0.024,4.2,0.1,6.4,0.032,0.021,0.055,0.079,0.078,0.0,0.049,0.017,0.0,0.057,0.5,0.01,2.2,0.01,0.01,0.3,0.057,4.2,1.4,0.091,0.062,11.62,snack,low-carb,veg
Onion Gravy Dry,77,0.7,0.4,0.2,0.024,16.2,0.0,2.2,1.4,0.5,1.0,1.0,0.0,0.017,0.061,0.082,0.046,0.9,0.026,0.068,1.7,0.0,0.0,0.0,67.2,0.026,0.2,8.2,0.035,48.7,62.9,0.091,0.2,89.6,snack,low-carb,veg
Corn Syrup Light,62,0.09,0.0,0.0,0.0,16.9,16.9,0.0,0.0,0.0,0.065,5.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.2,0.0,0.0,0.2,0.056,0.015,19.806,snack,low-carb,veg
Bacon Tomato Dressing,49,5.3,0.8,1.3,2.9,0.3,0.3,0.3,0.04,0.6,0.1,8.8,0.064,0.083,0.0,0.035,0.091,0.1,0.0,0.033,1.3,0.0,0.6,0.031,0.6,0.013,0.057,0.9,0.0,3.8,16.2,0.009,0.045,7.942,snack,low-carb,veg
Pancake Syrup,53,0.075,0.025,0.094,0.042,13.9,8.4,0.0,0.0,0.0,0.064,6.0,0.0,0.024,0.0,0.0,0.037,0.036,0.075,0.0,0.0,0.0,0.0,0.0,1.0,0.024,0.038,0.4,0.016,2.0,1.2,0.079,0.097,15.031,snack,low-carb,veg
Balsamic Vinegar,14,0.0,0.0,0.0,0.0,2.7,2.4,0.041,0.0,0.0,0.071,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.074,0.1,1.9,0.046,3.0,17.9,0.0,0.033,7.129,snack,low-carb,veg
Ranch Dressing Reduced Fat,29,1.9,0.2,0.4,0.6,3.2,0.6,0.2,0.2,2.4,0.2,9.3,0.022,0.049,0.081,0.0,0.098,0.044,0.1,0.018,0.051,0.0,0.2,0.012,6.0,0.051,0.1,0.9,0.098,29.0,19.8,0.082,0.035,11.727,snack,low-carb,veg
Barbecue Sauce Mcdonalds,46,0.3,0.09,0.069,0.1,10.3,9.6,0.4,0.4,0.0,0.3,16.2,0.0,0.032,0.076,0.0,0.025,0.2,0.071,0.088,0.0,0.0,0.3,0.0,3.1,0.008,0.1,3.6,0.056,8.4,55.2,0.0,0.097,14.6,snack,low-carb,veg
Vinegar Oil Dressing,72,8.0,1.5,2.4,3.9,0.4,0.4,0.0,0.0,0.0,0.076,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.06,0.0,8.4,snack,low-carb,veg
Poppyseed Dressing,66,5.5,1.0,1.4,2.9,4.0,3.9,0.2,0.03,2.5,0.1,6.4,0.005,0.03,0.014,0.038,0.069,0.083,0.027,0.092,0.04,0.053,0.4,0.044,9.7,0.093,0.048,1.5,0.006,8.1,10.1,0.083,0.091,19.612,snack,low-carb,veg
Honey Mustard Dressing,70,6.1,0.8,1.7,3.4,3.5,2.4,0.1,0.057,4.4,0.019,4.9,0.082,0.031,0.056,0.047,0.078,0.003,0.068,0.017,0.006,0.092,0.5,0.085,1.8,0.003,0.07,0.8,0.048,3.3,3.0,0.001,0.044,11.752,snack,low-carb,veg
French Dressing Fat Free,21,0.024,0.067,0.088,0.097,5.1,2.6,0.01,0.4,0.0,0.1,10.4,0.0,0.04,0.027,0.0,0.0,0.072,0.071,0.0,0.0,0.0,0.032,0.017,0.8,0.073,0.081,0.5,0.002,0.0,13.4,0.019,0.01,6.399,snack,low-carb,veg
Spray Dressing,13,0.9,0.1,0.0,0.0,1.3,1.1,0.07,0.075,0.0,0.012,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.5,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,2.931,snack,low-carb,veg
Honey Mustard Dressing Fat Free,25,0.2,0.031,0.1,0.056,5.8,2.7,0.2,0.2,0.2,0.2,8.4,0.01,0.077,0.049,0.0,0.019,0.093,0.001,0.039,0.3,0.0,0.1,0.018,3.6,0.014,0.053,2.0,0.027,5.6,10.4,0.096,0.061,10.426,snack,low-carb,veg
Mushroom Gravy,119,6.4,1.0,2.8,2.4,13.0,0.0,3.0,1.0,0.0,1.4,211.8,0.0,0.022,0.056,0.0,0.1,1.6,2.6,0.067,0.0,0.0,0.0,0.0,16.7,0.2,1.6,4.8,0.7,35.7,252.3,0.078,1.7,41.7,snack,low-carb,veg
White Sauce,368,26.6,7.1,11.1,7.2,22.9,11.0,9.6,0.5,17.5,0.9,187.2,0.3,0.2,0.018,0.055,0.5,1.0,0.8,0.1,2.0,0.012,0.7,0.034,295.0,0.033,0.8,35.0,0.1,245.0,390.0,0.073,1.0,357.7,snack,low-carb,veg
Marinara Pasta Sauce,129,3.9,0.4,1.0,1.3,19.9,14.5,3.7,4.8,5.3,1.1,230.7,0.0,0.021,0.062,0.0,0.2,10.3,0.2,0.5,5.3,0.0,6.3,0.042,71.3,0.2,2.1,47.5,0.4,89.8,842.2,0.061,0.5,111.0,snack,low-carb,veg
Tomato Sauce With Mushrooms,86,0.3,0.027,0.025,0.1,20.7,14.1,3.6,3.7,0.0,1.1,215.5,0.0,0.2,0.016,0.0,0.3,3.1,0.9,0.3,30.4,0.0,4.7,0.049,31.9,0.5,2.2,46.6,0.5,78.4,931.0,0.019,0.5,92.8,snack,low-carb,veg
Pork Gravy Powder,25,0.6,0.3,0.3,0.007,4.3,1.7,0.6,0.2,0.7,0.4,0.3,0.002,0.011,0.04,0.063,0.037,0.2,0.094,0.015,0.095,0.0,0.007,0.056,9.3,0.011,0.3,2.3,0.06,12.6,15.7,0.097,0.009,15.363,snack,low-carb,non-veg
Beef Gravy,123,5.5,2.7,2.2,0.2,11.2,0.5,8.7,0.9,7.0,1.5,203.8,0.079,0.068,0.067,0.025,0.064,1.5,0.027,0.049,0.0,0.0,0.013,0.005,14.0,0.2,1.6,4.7,0.5,69.9,188.7,0.085,2.3,41.982,snack,low-carb,non-veg
Green Goddess Dressing,64,6.5,0.9,1.4,3.5,1.1,1.0,0.3,0.094,6.0,0.1,6.8,0.052,0.076,0.048,0.071,0.04,0.042,0.0,0.028,0.037,0.0,0.7,0.061,5.1,0.004,0.067,1.1,0.0,4.7,8.7,0.002,0.081,13.2,snack,low-carb,veg
Salsa Con Queso,358,23.8,6.2,6.9,9.1,27.9,4.9,7.9,1.8,22.5,2.0,184.3,0.069,0.06,0.095,0.041,0.2,0.3,1.4,0.1,1.0,0.0,4.7,0.09,245.0,0.048,0.4,20.0,0.08,500.0,262.5,0.073,1.0,307.813,snack,low-carb,veg
Cocktail Sauce,19,0.2,0.0,0.0,0.0,4.2,1.8,0.2,0.3,0.0,0.2,9.9,0.002,0.078,0.066,0.0,0.069,0.1,0.033,0.042,1.7,0.0,0.2,0.014,3.9,0.023,0.1,2.6,0.096,4.5,46.4,0.075,0.086,10.667,snack,low-carb,veg
Worcestershire Sauce,13,0.0,0.0,0.0,0.0,3.3,1.7,0.0,0.0,0.0,0.2,13.4,0.036,0.023,0.009,0.0,0.051,0.1,0.0,0.0,2.2,0.0,0.036,0.042,18.2,0.09,0.9,2.2,0.0,10.2,136.0,0.067,0.023,24.673,snack,low-carb,veg
Barbecue Sauce,29,0.1,0.009,0.047,0.064,6.9,5.7,0.1,0.2,0.0,0.2,9.3,0.0,0.064,0.037,0.0,0.086,0.1,0.005,0.035,0.1,0.0,0.1,0.027,5.6,0.042,0.1,2.2,0.038,3.4,39.4,0.044,0.038,13.1,snack,low-carb,veg
Tomato Sauce With Onions,103,0.5,0.007,0.047,0.2,24.4,0.0,3.8,4.4,0.0,1.3,210.9,0.0,0.2,0.003,0.0,0.3,3.0,0.9,0.7,31.1,0.0,0.0,0.0,41.7,0.4,2.3,46.6,0.7,95.6,1011.9,0.059,0.6,108.2,snack,low-carb,veg
Brown Gravy Dry,22,0.6,0.2,0.3,0.061,3.6,0.0,0.6,0.1,0.2,0.3,0.3,0.033,0.013,0.029,0.011,0.039,0.2,0.059,0.061,0.048,0.0,0.0,0.0,7.9,0.032,0.1,2.0,0.048,12.2,15.7,0.038,0.013,13.021,snack,low-carb,veg
Blue Cheese Dressing Light,14,0.4,0.1,0.2,0.1,2.1,0.6,0.3,0.0,1.6,0.2,12.4,0.081,0.071,0.055,0.05,0.012,0.088,0.0,0.041,0.0,0.0,0.1,0.052,10.9,0.033,0.042,0.6,0.0,7.5,8.2,0.003,0.073,13.835,snack,low-carb,veg
Spanish Tomato Sauce,81,0.7,0.007,0.016,0.3,17.7,0.0,3.5,3.4,0.0,1.2,217.4,0.0,0.2,0.053,0.0,0.2,3.2,0.7,0.4,21.0,0.0,0.0,0.0,41.5,0.4,8.5,46.4,0.5,117.1,900.4,0.087,0.8,96.3,snack,low-carb,veg
Oyster Sauce,9,0.066,0.016,0.02,0.044,2.0,0.0,0.2,0.024,0.0,0.5,14.4,0.0,0.089,0.005,0.05,0.049,0.3,0.009,0.023,0.036,0.0,0.0,0.0,5.8,0.037,0.069,0.7,0.083,4.0,9.7,0.072,0.022,8.095,snack,low-carb,non-veg
Cheese Sauce,30,2.2,1.2,0.7,0.2,0.8,0.033,1.5,0.071,5.7,0.002,10.0,0.003,0.035,0.08,0.0,0.015,0.073,0.083,0.082,0.067,0.023,0.096,0.095,46.7,0.1,0.047,2.9,0.084,34.4,21.3,0.078,0.2,51.263,snack,low-carb,veg
Hoisin Sauce,35,0.5,0.036,0.2,0.3,7.1,4.4,0.5,0.4,0.5,0.3,7.1,0.0,0.014,0.069,0.0,0.068,0.2,0.061,0.088,0.097,0.0,0.046,0.031,5.1,0.061,0.2,3.8,0.025,6.1,19.0,0.058,0.022,13.882,snack,low-carb,veg
Pickle Relish,20,0.061,0.093,0.083,0.036,5.3,4.4,0.097,0.2,0.0,0.1,9.3,0.0,0.0,0.042,0.0,0.011,0.05,0.09,0.053,0.2,0.0,0.026,0.018,0.5,0.038,0.1,0.8,0.04,2.1,3.8,0.0,0.005,6.381,snack,low-carb,veg
Tomato Sauce With Herbs Cheese,144,4.7,1.5,0.9,2.0,25.0,0.0,5.2,5.4,7.3,1.3,203.6,0.0,0.2,0.035,0.0,0.3,2.9,0.7,0.008,24.4,0.0,0.0,0.0,90.3,0.4,2.1,46.4,0.5,131.8,868.6,0.029,0.9,157.1,breakfast,low-carb,veg
French Dressing,73,7.2,0.9,1.3,3.4,2.5,2.6,0.1,0.0,0.0,0.1,5.8,0.0,0.02,0.0,0.015,0.02,0.091,0.0,0.0,0.6,0.0,0.8,0.065,3.8,0.0,0.1,0.8,0.097,3.0,10.7,0.0,0.084,14.3,snack,low-carb,veg
Mayonnaise Hellmanns,15,1.7,0.9,0.093,0.2,0.087,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.737,snack,low-carb,veg
Canadian Maple Syrup,76,0.0,0.0,0.0,0.0,19.1,17.0,0.0,0.0,0.0,0.086,9.1,0.0,0.013,0.0,0.0,0.4,0.062,0.0,0.0,0.0,0.0,0.0,0.0,30.8,0.0,0.088,5.9,0.7,0.0,63.7,0.0,0.2,49.95,snack,low-carb,veg
Maple Syrup,52,0.047,0.036,0.014,0.085,13.4,13.6,0.09,0.0,0.0,0.059,6.5,0.0,0.063,0.0,0.0,0.3,0.088,0.054,0.036,0.0,0.0,0.0,0.0,20.4,0.093,0.014,4.2,0.6,0.4,42.4,0.008,0.3,33.895,snack,low-carb,veg
Barbecue Sauce Bulls Eye,27,0.1,0.028,0.019,0.033,6.4,5.6,0.1,0.2,0.0,0.2,8.8,0.0,0.003,0.0,0.0,0.085,0.1,0.053,0.05,0.094,0.0,0.1,0.0,6.9,0.075,0.1,2.6,0.071,3.5,42.1,0.0,0.041,13.891,snack,low-carb,veg
Ranch Dressing,65,6.7,1.0,1.4,3.9,0.9,0.7,0.2,0.0,3.9,0.1,6.9,0.067,0.098,0.061,0.05,0.042,0.011,0.083,0.1,0.093,0.0,0.015,0.3,0.024,4.2,0.085,0.05,0.8,0.092,27.9,9.6,0.017,8.046,snack,low-carb,veg
